,n_estimators,estimator,min_score,max_score,mean_score,std_score,bootstrap,learning_rate,C,kernel,gamma
18,,SVC,0.029411764705882353,0.24242424242424243,0.11081402257872847,0.09392979115635734,,,1,linear,
19,,SVC,0.029411764705882353,0.24242424242424243,0.11081402257872847,0.09392979115635734,,,10,linear,
0,20,ExtraTreesClassifier,0.058823529411764705,0.21212121212121213,0.11051693404634581,0.07184875942654695,,,,,
23,,SVC,0.029411764705882353,0.21212121212121213,0.13101604278074866,0.0759861638189587,,,10,rbf,0.0001
2,100,ExtraTreesClassifier,0.030303030303030304,0.21212121212121213,0.10041592394533572,0.07984112671296886,,,,,
4,50,RandomForestClassifier,0.029411764705882353,0.18181818181818182,0.09061200237670826,0.06573784501289788,True,,,,
22,,SVC,0.08823529411764706,0.18181818181818182,0.12032085561497326,0.04349887465922435,,,10,rbf,0.001
6,20,RandomForestClassifier,0.029411764705882353,0.15151515151515152,0.10071301247771836,0.05191319268260657,False,,,,
1,50,ExtraTreesClassifier,0.030303030303030304,0.15151515151515152,0.09001782531194295,0.0495006912091772,,,,,
7,50,RandomForestClassifier,0.058823529411764705,0.12121212121212122,0.09031491384432562,0.02547350102225314,False,,,,
8,100,RandomForestClassifier,0.08823529411764706,0.12121212121212122,0.11021984551396317,0.015545425373679296,False,,,,
21,,SVC,0.058823529411764705,0.12121212121212122,0.0903149138443256,0.02547350102225314,,,1,rbf,0.0001
20,,SVC,0.09090909090909091,0.12121212121212122,0.10992275698158051,0.013523240257565112,,,1,rbf,0.001
13,50,GradientBoostingClassifier,0.0,0.11764705882352941,0.059417706476530004,0.04803656074012534,,0.8,,,
10,50,AdaBoostClassifier,0.0,0.09090909090909091,0.04040404040404041,0.03779451905832264,,,,,
5,100,RandomForestClassifier,0.058823529411764705,0.09090909090909091,0.08021390374331551,0.015125278741958237,True,,,,
15,20,GradientBoostingClassifier,0.030303030303030304,0.09090909090909091,0.06001188354129531,0.024756585449791632,,1.0,,,
17,100,GradientBoostingClassifier,0.058823529411764705,0.09090909090909091,0.0701128936423054,0.01472312738367661,,1.0,,,
3,20,RandomForestClassifier,0.029411764705882353,0.09090909090909091,0.07040998217468807,0.02899011758875329,True,,,,
14,100,GradientBoostingClassifier,0.030303030303030304,0.08823529411764706,0.04961378490790256,0.02730953106186904,,0.8,,,
16,50,GradientBoostingClassifier,0.06060606060606061,0.08823529411764706,0.06981580510992276,0.013024545583352929,,1.0,,,
12,20,GradientBoostingClassifier,0.0,0.08823529411764706,0.029411764705882356,0.04159451654038515,,0.8,,,
11,100,AdaBoostClassifier,0.0,0.06060606060606061,0.030005941770647655,0.02474588760898253,,,,,
9,20,AdaBoostClassifier,0.0,0.06060606060606061,0.030005941770647655,0.02474588760898253,,,,,
